City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Puerto Colombia,CO,10.9878,-74.9547,80.69,84,100,7.83,overcast clouds
1,Torbay,CA,47.6666,-52.7314,41.88,84,100,8.05,overcast clouds
2,Atuona,PF,-9.8,-139.0333,77.9,69,5,16.04,clear sky
3,Aksu,CN,41.1231,80.2644,82.87,17,83,10.58,broken clouds
4,Hobart,AU,-42.8794,147.3294,48.25,83,40,8.05,scattered clouds
5,Jamestown,US,42.097,-79.2353,58.64,88,40,3.44,scattered clouds
6,Tuktoyaktuk,CA,69.4541,-133.0374,34.11,97,100,6.17,light snow
7,Leningradskiy,RU,69.3833,178.4167,13.64,94,80,7.11,broken clouds
8,Hukuntsi,BW,-24.0,21.75,76.23,32,45,14.83,scattered clouds
9,Laguna,US,38.421,-121.4238,57.45,79,0,6.91,clear sky
10,Aanekoski,FI,62.6946,25.818,53.67,59,80,13.56,broken clouds
11,Kavieng,PG,-2.5744,150.7967,82.0,75,100,8.97,overcast clouds
12,Port Elizabeth,ZA,-33.918,25.5701,86.09,48,0,11.5,clear sky
13,Rikitea,PF,-23.1203,-134.9692,76.17,77,100,16.69,light rain
14,Manono,CD,-7.3,27.4167,88.97,38,22,6.58,few clouds
15,Silopi,TR,37.2497,42.4694,74.57,34,27,6.93,scattered clouds
16,Vyara,IN,21.1167,73.4,99.55,26,2,11.77,clear sky
17,Pevek,RU,69.7008,170.3133,17.31,87,91,5.12,overcast clouds
18,Bluff,NZ,-46.6,168.3333,55.8,82,99,12.44,overcast clouds
19,Hamilton,US,39.1834,-84.5333,59.63,95,75,4.61,broken clouds
20,Butaritari,KI,3.0707,172.7902,81.28,76,51,11.36,broken clouds
21,Albany,US,42.6001,-73.9662,64.02,95,35,2.55,scattered clouds
22,Tiksi,RU,71.6872,128.8694,23.49,95,100,16.31,light snow
23,Mataura,NZ,-46.1927,168.8643,55.47,82,99,4.85,overcast clouds
24,Juneau,US,58.3019,-134.4197,44.6,91,75,6.91,broken clouds
25,Nalut,LY,30.3333,10.85,90.3,10,19,7.72,few clouds
26,Hasaki,JP,35.7333,140.8333,57.6,91,100,22.93,light rain
27,Yar-Sale,RU,66.8333,70.8333,43.97,95,92,1.79,overcast clouds
28,Longyearbyen,SJ,78.2186,15.6401,31.84,80,75,6.91,broken clouds
29,Nabire,ID,-3.3667,135.4833,77.31,86,94,3.33,overcast clouds
30,New Norfolk,AU,-42.7826,147.0587,45.91,82,29,1.99,scattered clouds
31,Geraldton,AU,-28.7667,114.6,61.21,72,0,4.61,clear sky
32,Dunedin,NZ,-45.8742,170.5036,54.81,73,95,5.44,overcast clouds
33,Katsuura,JP,35.1333,140.3,57.13,94,100,17.65,light rain
34,Tsaratanana,MG,-16.7833,47.65,83.52,38,0,9.08,clear sky
35,Richards Bay,ZA,-28.783,32.0377,75.49,56,41,7.07,scattered clouds
36,Bengkulu,ID,-3.8004,102.2655,80.19,83,91,1.88,overcast clouds
37,Avarua,CK,-21.2078,-159.775,75.25,78,75,3.44,broken clouds
38,Chimoio,MZ,-19.1164,33.4833,67.86,73,75,13.8,broken clouds
39,Clyde River,CA,70.4692,-68.5914,19.63,93,20,0.0,few clouds
40,East London,ZA,-33.0153,27.9116,77.94,65,0,4.61,clear sky
41,Luanda,AO,-8.8368,13.2343,82.71,70,91,6.46,overcast clouds
42,Chuy,UY,-33.6971,-53.4616,52.43,75,68,16.02,broken clouds
43,Gamba,GA,-2.65,10.0,84.22,71,98,7.7,overcast clouds
44,Umm Kaddadah,SD,13.6017,26.6876,100.89,11,24,9.6,few clouds
45,Prince Rupert,CA,54.3161,-130.3201,42.89,89,100,11.5,overcast clouds
46,Chokurdakh,RU,70.6333,147.9167,24.48,95,100,16.84,snow
47,Hilo,US,19.7297,-155.09,72.28,93,40,5.75,scattered clouds
48,Eyl,SO,7.9803,49.8164,96.8,39,9,21.92,clear sky
49,San Rafael Del Sur,NI,11.8485,-86.4384,76.17,79,100,6.4,overcast clouds
50,Lebu,CL,-37.6167,-73.65,51.6,53,95,3.6,overcast clouds
51,Dikson,RU,73.5069,80.5464,33.82,98,100,7.52,overcast clouds
52,Nanortalik,GL,60.1432,-45.2371,34.74,76,100,8.97,overcast clouds
53,Busselton,AU,-33.65,115.3333,63.21,66,44,6.55,scattered clouds
54,Kampot,KH,10.6167,104.1833,80.65,80,98,9.01,overcast clouds
55,Bonoua,CI,5.2741,-3.595,83.82,62,98,8.37,overcast clouds
56,Korla,CN,41.7597,86.1469,83.12,17,100,5.95,overcast clouds
57,Georgetown,MY,5.4112,100.3354,80.53,88,40,5.75,heavy intensity rain
58,Hede,CN,33.7681,120.2517,66.42,39,35,8.75,scattered clouds
59,Punta Arenas,CL,-53.15,-70.9167,33.91,93,0,2.3,clear sky
60,Kapaa,US,22.0752,-159.319,75.52,86,75,13.8,broken clouds
61,Half Moon Bay,US,37.4636,-122.4286,57.11,89,100,13.8,overcast clouds
62,Envira,BR,-7.3,-70.2167,73.04,98,100,1.57,overcast clouds
63,Tuatapere,NZ,-46.1333,167.6833,54.12,88,99,5.26,overcast clouds
64,Cape Town,ZA,-33.9258,18.4232,90.12,13,0,10.36,clear sky
65,Faanui,PF,-16.4833,-151.75,81.57,68,70,8.93,light rain
66,Buta,CD,2.7858,24.73,85.35,59,75,4.34,light rain
