City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Puerto Colombia,CO,80.69,overcast clouds,10.9878,-74.9547,Hotel El Emigrante
2,Atuona,PF,77.9,clear sky,-9.8,-139.0333,Villa Enata
3,Aksu,CN,82.87,broken clouds,41.1231,80.2644,Pudong Holiday Hotel
8,Hukuntsi,BW,76.23,scattered clouds,-24.0,21.75,Entabeni Hotel
11,Kavieng,PG,82.0,overcast clouds,-2.5744,150.7967,Nusa Island Retreat
12,Port Elizabeth,ZA,86.09,clear sky,-33.918,25.5701,39 On Nile Guest House
13,Rikitea,PF,76.17,light rain,-23.1203,-134.9692,People ThankYou
14,Manono,CD,88.97,few clouds,-7.3,27.4167,Hotel hewa bora
20,Butaritari,KI,81.28,broken clouds,3.0707,172.7902,Isles Sunset Lodge
29,Nabire,ID,77.31,overcast clouds,-3.3667,135.4833,Hotel Nusantara I
35,Richards Bay,ZA,75.49,scattered clouds,-28.783,32.0377,BON Hotel Waterfront Richards Bay
36,Bengkulu,ID,80.19,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
37,Avarua,CK,75.25,broken clouds,-21.2078,-159.775,Paradise Inn
40,East London,ZA,77.94,clear sky,-33.0153,27.9116,Tu Casa
41,Luanda,AO,82.71,overcast clouds,-8.8368,13.2343,EPIC SANA Luanda
49,San Rafael Del Sur,NI,76.17,overcast clouds,11.8485,-86.4384,Hospedaje El Chino
54,Kampot,KH,80.65,overcast clouds,10.6167,104.1833,Two Moons Hotel
55,Bonoua,CI,83.82,overcast clouds,5.2741,-3.595,Hotel Bon Samaritian
56,Korla,CN,83.12,overcast clouds,41.7597,86.1469,Gulisitan Hotel
57,Georgetown,MY,80.53,heavy intensity rain,5.4112,100.3354,Cititel Penang
60,Kapaa,US,75.52,broken clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
65,Faanui,PF,81.57,light rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
66,Buta,CD,85.35,light rain,2.7858,24.73,HOTEL BISO NA BISO
69,Quatre Cocos,MU,80.1,light rain,-20.2078,57.7625,Sunrise Attitude Hotel
75,Kawalu,ID,75.4,broken clouds,-7.3817,108.2082,West Jontor
76,Maues,BR,75.34,moderate rain,-3.3836,-57.7186,Hotel Miramar
77,Charters Towers,AU,75.58,broken clouds,-20.1,146.2667,Cattleman's Rest Motor Inn
79,Dickinson,US,76.95,scattered clouds,29.4608,-95.0513,Hampton Inn & Suites Houston/League City
97,Hithadhoo,MV,83.5,broken clouds,-0.6,73.0833,Scoop Guest House
100,Karlovac,HR,85.01,broken clouds,45.4872,15.5478,Hotel Europe
101,Porto Novo,BJ,89.42,overcast clouds,6.4965,2.6036,Tour Eiffel Hotel Benin
102,Ternate,ID,82.4,broken clouds,0.8,127.4,Sahid Bela Ternate Hotel
103,Acarigua,VE,77.92,overcast clouds,9.5545,-69.1956,Edificio La Corteza
104,Gilgit,PK,77.59,broken clouds,35.9221,74.3087,Tourist Hamlet Gilgit
105,Saldanha,ZA,89.65,few clouds,-33.0117,17.9442,Blue Bay Lodge
106,Namatanai,PG,79.84,overcast clouds,-3.6667,152.4333,Seagulls Inn Namatani
110,Melfi,IT,79.36,broken clouds,40.9965,15.6514,HOTEL TERME DI RAPOLLA
115,Mahebourg,MU,80.26,broken clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
121,Souillac,MU,79.18,light rain,-20.5167,57.5167,Shanti Maurice Resort & Spa
122,Dharchula,IN,86.31,broken clouds,29.85,80.5333,Mahara Hotel
124,Kalabo,ZM,77.52,clear sky,-14.97,22.6814,Sikakubete Guest House Kalabo Town Council
130,Ponta Do Sol,PT,80.01,clear sky,32.6667,-17.1,Hotel do Campo
133,Kardamaina,GR,80.08,clear sky,36.7814,27.1425,HOTEL
135,Meulaboh,ID,81.27,overcast clouds,4.1363,96.1285,Kost Pria
